Node_ID	Description	Sub-family	Colour (Sub-family)
MG592622	Vibrio phage 1.256.O._10N.286.45.F8	Unclassified	#D3D3D3
MG592621	Vibrio phage 1.255.O._10N.286.45.F1	Unclassified	#D3D3D3
MG592620	Vibrio phage 1.254.O._10N.286.45.C8	Unclassified	#D3D3D3
MG592619	Vibrio phage 1.253.O._10N.286.45.B12	Unclassified	#D3D3D3
MG592618	Vibrio phage 1.251.O._10N.261.55.E5	Unclassified	#D3D3D3
MG592617	Vibrio phage 1.250.O._10N.261.55.E11	Unclassified	#D3D3D3
MG592614	Vibrio phage 1.248.O._10N.261.54.F1	Unclassified	#D3D3D3
MG592613	Vibrio phage 1.247.B._10N.261.54.E12	Unclassified	#D3D3D3
MG592612	Vibrio phage 1.247.A._10N.261.54.E12	Unclassified	#D3D3D3
MG592611	Vibrio phage 1.246.O._10N.261.54.E10	Unclassified	#D3D3D3
MG592610	Vibrio phage 1.245.O._10N.261.54.C7	Unclassified	#D3D3D3
MG592609	Vibrio phage 1.244.A._10N.261.54.C3	Unclassified	#D3D3D3
MG592608	Vibrio phage 1.243.O._10N.261.54.B5	Unclassified	#D3D3D3
MG592607	Vibrio phage 1.242.O._10N.261.54.B2	Unclassified	#D3D3D3
MG592606	Vibrio phage 1.240.O._10N.261.52.F8	Unclassified	#D3D3D3
MG592605	Vibrio phage 1.239.O._10N.261.52.F6	Unclassified	#D3D3D3
MG592604	Vibrio phage 1.238.B._10N.261.52.F10	Unclassified	#D3D3D3
MG592603	Vibrio phage 1.238.A._10N.261.52.F10	Unclassified	#D3D3D3
MG592602	Vibrio phage 1.237.B._10N.261.52.C5	Unclassified	#D3D3D3
MG592601	Vibrio phage 1.237.A._10N.261.52.C5	Unclassified	#D3D3D3
MG592600	Vibrio phage 1.236.O._10N.261.52.C4	Unclassified	#D3D3D3
MG592599	Vibrio phage 1.235.O._10N.261.52.B2	Unclassified	#D3D3D3
MG592598	Vibrio phage 1.233.B._10N.261.51.E6	Unclassified	#D3D3D3
MG592597	Vibrio phage 1.233.A._10N.261.51.E6	Unclassified	#D3D3D3
MG592596	Vibrio phage 1.232.O._10N.261.51.E11	Unclassified	#D3D3D3
MG592595	Vibrio phage 1.231.O._10N.261.49.F8	Unclassified	#D3D3D3
MG592594	Vibrio phage 1.228.O._10N.261.49.C1	Unclassified	#D3D3D3
MG592593	Vibrio phage 1.226.O._10N.261.48.E5	Unclassified	#D3D3D3
MG592592	Vibrio phage 1.225.O._10N.261.48.B7	Unclassified	#D3D3D3
MG592591	Vibrio phage 1.224.A._10N.261.48.B1	Unclassified	#D3D3D3
MG592590	Vibrio phage 1.223.O._10N.261.48.A9	Unclassified	#D3D3D3
MG592589	Vibrio phage 1.219.O._10N.261.45.E2	Unclassified	#D3D3D3
MG592588	Vibrio phage 1.217.O._10N.261.45.A1	Unclassified	#D3D3D3
MG592587	Vibrio phage 1.216.O._10N.222.55.C12	Unclassified	#D3D3D3
MG592586	Vibrio phage 1.215.B._10N.222.54.F7	Unclassified	#D3D3D3
MG592585	Vibrio phage 1.215.A._10N.222.54.F7	Unclassified	#D3D3D3
MG592584	Vibrio phage 1.214.O._10N.222.54.F11	Unclassified	#D3D3D3
MG592583	Vibrio phage 1.213.O._10N.222.54.F10	Unclassified	#D3D3D3
MG592582	Vibrio phage 1.211.B._10N.222.52.F11	Unclassified	#D3D3D3
MG592581	Vibrio phage 1.211.A._10N.222.52.F11	Unclassified	#D3D3D3
MG592580	Vibrio phage 1.210.O._10N.222.52.C2	Unclassified	#D3D3D3
MG592579	Vibrio phage 1.209.O._10N.222.52.B2	Unclassified	#D3D3D3
MG592578	Vibrio phage 1.208.B._10N.222.52.A7	Unclassified	#D3D3D3
MG592577	Vibrio phage 1.207.B._10N.222.51.C2	Queuovirinae	#4754CD
MG592576	Vibrio phage 1.206.O._10N.222.51.B10	Unclassified	#D3D3D3
MG592575	Vibrio phage 1.205.O._10N.222.51.A7	Unclassified	#D3D3D3
MG592574	Vibrio phage 1.204.O._10N.222.46.F12	Unclassified	#D3D3D3
MG592573	Vibrio phage 1.202.O._10N.222.45.E8	Unclassified	#D3D3D3
MG592572	Vibrio phage 1.201.B._10N.286.55.F1	Unclassified	#D3D3D3
MG592571	Vibrio phage 1.200.O._10N.286.55.E1	Unclassified	#D3D3D3
MG592570	Vibrio phage 1.199.B._10N.286.55.C10	Unclassified	#D3D3D3
